step,train_loss,train_perplexity,lr,grad_norm,tokens_seen,tokens_per_sec,elapsed_s,val_loss,val_perplexity
0,8.33214,4155.3003,0.0,0.0,0,,0.0,,
1,8.332163,4155.3954,9.836065573770493e-06,1.9698,8192,293442.0,0.28,,
10,8.0936,3273.4517,9.836065573770491e-05,1.4128,81920,340457.3,0.52,,
20,7.827865,2509.5648,0.00019672131147540983,1.3046,163840,363925.2,0.74,,
30,7.484187,1779.6761,0.00029508196721311476,1.2706,245760,365515.9,0.97,,
40,7.014371,1112.5066,0.00039344262295081965,1.284,327680,349529.2,1.2,,
50,6.543506,694.7178,0.0004918032786885246,1.2117,409600,331091.1,1.45,,
60,6.088929,440.949,0.0005901639344262295,1.2585,491520,341589.9,1.69,,
70,5.70449,300.2124,0.0006885245901639344,0.9472,573440,340338.6,1.93,,
80,5.352135,211.0584,0.0007868852459016393,0.8277,655360,348609.0,2.17,,
90,5.085295,161.6276,0.0008852459016393443,0.7332,737280,339339.0,2.41,,
100,4.83343,125.6412,0.0009836065573770492,0.7011,819200,331074.8,2.66,,
110,4.679199,107.6838,0.0010819672131147542,0.7441,901120,344922.2,2.89,,
120,4.492038,89.3032,0.001180327868852459,0.6297,983040,346951.7,3.13,,
130,4.397386,81.2382,0.0012786885245901639,0.7425,1064960,334449.2,3.37,,
140,4.250385,70.1324,0.0013770491803278687,0.6554,1146880,348758.3,3.61,,
150,4.225567,68.4133,0.0014754098360655738,0.7421,1228800,346755.3,3.84,,
160,4.173668,64.9533,0.0015737704918032786,0.7858,1310720,336212.1,4.09,,
170,4.110846,60.9983,0.0016721311475409836,0.7697,1392640,347540.9,4.32,,
180,3.901232,49.4634,0.0017704918032786887,0.7714,1474560,333559.9,4.57,,
190,3.933192,51.0697,0.0018688524590163937,0.6336,1556480,339067.1,4.81,,
200,3.965415,52.7422,0.0019672131147540984,0.5921,1638400,363145.5,5.04,,
210,3.868636,47.877,0.0020655737704918034,0.6428,1720320,364563.0,5.26,,
220,3.789292,44.2251,0.0021639344262295085,0.8058,1802240,356424.8,5.49,,
230,3.739356,42.0709,0.0022622950819672135,0.6713,1884160,358682.5,5.72,,
240,3.780588,43.8418,0.002360655737704918,0.657,1966080,365407.5,5.94,,
250,3.758584,42.8877,0.002459016393442623,0.6365,2048000,365585.1,6.17,,
250,3.758584,42.8877,0.002459016393442623,0.6365,2048000,,6.5,3.708632,40.798
260,3.711248,40.9048,0.0025573770491803278,0.6805,2129920,127020.2,6.81,,
270,3.591831,36.3005,0.002655737704918033,0.6514,2211840,367345.9,7.04,,
280,3.622383,37.4266,0.0027540983606557374,0.7558,2293760,366122.7,7.26,,
290,3.542274,34.5454,0.0028524590163934425,0.6631,2375680,364154.6,7.48,,
300,3.530746,34.1494,0.0029508196721311475,0.7458,2457600,362335.6,7.71,,
310,3.371303,29.1164,0.002999996825930367,0.9958,2539520,364399.9,7.94,,
320,3.519032,33.7517,0.002999961117818407,0.8234,2621440,366804.4,8.16,,
330,3.430252,30.8844,0.0029998857350603874,0.8172,2703360,362990.9,8.38,,
340,3.311827,27.4352,0.0029997706798717667,0.6932,2785280,359444.6,8.61,,
350,3.394263,29.7927,0.0029996159556339567,0.7719,2867200,366132.1,8.84,,
360,3.374031,29.196,0.002999421566894222,0.8579,2949120,362238.5,9.06,,
370,3.299075,27.0876,0.0029991875193655436,0.6768,3031040,366316.7,9.29,,
380,3.299428,27.0971,0.0029989138199264563,0.64,3112960,364028.1,9.51,,
390,3.28701,26.7627,0.0029986004766208428,0.6996,3194880,360848.5,9.74,,
400,3.292803,26.9182,0.0029982474986576966,0.6909,3276800,364865.4,9.96,,
410,3.272878,26.3872,0.0029978548964108543,0.7393,3358720,366297.2,10.19,,
420,3.147604,23.2802,0.0029974226814186897,0.6382,3440640,364186.7,10.41,,
430,3.13169,22.9127,0.0029969508663837737,0.7149,3522560,364276.3,10.64,,
440,3.236109,25.4346,0.002996439465172501,0.7908,3604480,364304.8,10.86,,
450,3.293221,26.9295,0.002995888492814684,0.657,3686400,366399.9,11.08,,
460,3.260498,26.0625,0.0029952979655031103,0.8468,3768320,365705.4,11.31,,
470,3.22047,25.0399,0.002994667900593066,0.6536,3850240,360587.9,11.54,,
480,3.036833,20.8391,0.002993998316601828,0.643,3932160,360766.6,11.76,,
490,3.143507,23.185,0.0029932892332081157,0.6591,4014080,364084.0,11.99,,
500,3.03223,20.7434,0.0029925406712515167,0.7856,4096000,365472.8,12.21,,
500,3.03223,20.7434,0.0029925406712515167,0.7856,4096000,,12.54,3.129679,22.8666
510,3.079923,21.7567,0.0029917526527318736,0.6466,4177920,112213.8,12.94,,
520,3.110844,22.44,0.0029909252008086347,0.6192,4259840,364763.5,13.17,,
530,3.07875,21.7312,0.0029900583398001757,0.6731,4341760,364384.4,13.39,,
540,3.053748,21.1946,0.002989152095183086,0.6815,4423680,363960.6,13.62,,
550,3.129972,22.8733,0.0029882064935914166,0.63,4505600,358869.4,13.84,,
560,2.980139,19.6906,0.0029872215628159006,0.6354,4587520,364080.6,14.07,,
570,3.050829,21.1329,0.0029861973318031343,0.6395,4669440,362640.4,14.3,,
580,3.022198,20.5364,0.002985133830654728,0.6632,4751360,365429.6,14.52,,
590,3.02275,20.5477,0.00298403109062642,0.662,4833280,361493.9,14.75,,
600,3.013444,20.3574,0.0029828891441271584,0.6289,4915200,337153.7,14.99,,
610,2.981621,19.7198,0.0029817080247181494,0.5901,4997120,341989.3,15.23,,
620,2.941262,18.9397,0.0029804877671118705,0.6602,5079040,342466.6,15.47,,
630,3.007922,20.2453,0.0029792284071710495,0.6451,5160960,345901.8,15.71,,
640,2.875729,17.7384,0.002977929981907612,0.6572,5242880,342570.7,15.94,,
650,3.072934,21.6052,0.002976592529481592,0.7141,5324800,334707.9,16.19,,
660,2.878319,17.7843,0.0029752160892000117,0.5797,5406720,328707.3,16.44,,
670,2.960217,19.3022,0.0029738007015157266,0.6356,5488640,341818.6,16.68,,
680,2.984406,19.7748,0.002972346408026234,0.6563,5570560,337785.1,16.92,,
690,2.971291,19.5171,0.0029708532514724547,0.6483,5652480,344231.8,17.16,,
700,2.900426,18.1819,0.002969321275737472,0.6094,5734400,344913.9,17.4,,
710,2.899868,18.1718,0.002967750525845246,0.8255,5816320,341608.5,17.64,,
720,2.922121,18.5806,0.0029661410479592883,0.6009,5898240,335969.5,17.88,,
730,2.820615,16.7872,0.002964492889381307,0.5865,5980160,326446.5,18.13,,
740,2.848943,17.2695,0.002962806098549813,0.693,6062080,319105.4,18.39,,
750,2.901978,18.2101,0.002961080725038702,0.7162,6144000,344626.1,18.62,,
750,2.901978,18.2101,0.002961080725038702,0.7162,6144000,,18.96,2.868856,17.6169
760,2.747021,15.5961,0.0029593168195557904,0.6411,6225920,126396.1,19.27,,
770,2.848089,17.2548,0.002957514433941333,0.6113,6307840,357334.0,19.5,,
780,2.877277,17.7658,0.0029556736211664926,0.5503,6389760,362916.9,19.73,,
790,2.867865,17.5994,0.0029537944353317863,0.5911,6471680,365130.6,19.95,,
800,2.920416,18.549,0.002951876931665497,0.6281,6553600,358344.7,20.18,,
810,2.756167,15.7394,0.002949921166522046,0.6299,6635520,360490.7,20.41,,
820,2.782152,16.1537,0.002947927197380342,0.6037,6717440,364481.1,20.63,,
830,2.697376,14.8407,0.002945895082842086,0.6034,6799360,364652.8,20.86,,
840,2.756233,15.7404,0.002943824882630055,0.6728,6881280,364047.8,21.08,,
850,2.741731,15.5138,0.0029417166575863418,0.6134,6963200,361699.7,21.31,,
860,2.751882,15.6721,0.00293957046967057,0.6735,7045120,358814.0,21.54,,
870,2.789376,16.2709,0.002937386381958072,0.5716,7127040,344486.8,21.78,,
880,2.750134,15.6447,0.002935164458638035,0.5541,7208960,363147.8,22.0,,
890,2.746033,15.5807,0.002932904765011615,0.6414,7290880,361610.3,22.23,,
900,2.822271,16.815,0.002930607367490016,0.6151,7372800,364542.5,22.45,,
910,2.857061,17.4103,0.002928272333592542,0.6051,7454720,362891.6,22.68,,
920,2.782644,16.1617,0.0029258997319446096,0.6378,7536640,364220.6,22.9,,
930,2.710697,15.0398,0.0029234896322757296,0.675,7618560,363105.6,23.13,,
940,2.746815,15.5929,0.002921042105417463,0.6621,7700480,358152.7,23.36,,
950,2.629008,13.86,0.002918557223301334,0.6163,7782400,362844.9,23.58,,
960,2.81886,16.7577,0.0029160350589567193,0.6034,7864320,364672.5,23.81,,
970,2.821997,16.8104,0.0029134756865087,0.5825,7946240,359503.2,24.04,,
980,2.689849,14.7294,0.0029108791811758845,0.602,8028160,358789.6,24.26,,
990,2.687595,14.6963,0.0029082456192681956,0.5896,8110080,360676.9,24.49,,
1000,2.788876,16.2627,0.002905575078184631,0.6145,8192000,365373.3,24.72,,
1000,2.788876,16.2627,0.002905575078184631,0.6145,8192000,,25.05,2.719994,15.1802
